ID,smiles,lgK,ref_num,doi
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.03,22,10.1002/ejic.200901261
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.26,23,10.1002/mrm.1910080208
A1,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,22.46,24,10.1016/0022-1902(62)80236-x
A2,O=C(O)CCC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,21.66,25,10.1016/S0010-8545(99)00237-4
A3,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)C(COCc1ccccc1)C(=O)O)CC(=O)O,22.23,25,10.1016/S0010-8545(99)00237-4
A4,Nc1ccc(CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)cc1,22.0,26,10.1021/jm9602118
A5,CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,18.6,27,10.1021/ic800512k
A6,CCN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,17.79,28,10.1021/ic00212a005
A7,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CP(=O)(O)O)CC(=O)O,22.79,29,10.1002/cmmi.131
A8,NCCC(N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)P(=O)(O)O,22.34,29,10.1002/cmmi.131
A9,CNC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,19.9,39,10.1039/b005298l
A10,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)Cc1ccccn1)CC(=O)O,21.59,32,10.1016/S0277-5387(00)00502-7
A11,O=C(O)CN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,21.72,25,10.1016/S0010-8545(99)00237-4
A12,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCC)CC(=O)O)CC(=O)O,16.3,23,10.1002/mrm.1910080208
A13,CN(CCN(CCN(C)CC(=O)O)CC(=O)O)CC(=O)O,13.12,38,10.1021/ic00110a019
A14,NC(=O)CN(CCN(CCN(CC(N)=O)CC(=O)O)CC(=O)O)CC(=O)O,14.6,34,10.1039/B514173G
A15,COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,16.84,35,10.1097/00004424-199111001-00077
A16,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.72,36,10.1002/chem.201405967
A16,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,16.85,33,10.1016/0730-725X(90)90055-7
A17,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O)CC(=O)O,16.23,23,10.1002/mrm.1910080208
A18,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCCC)CC(=O)O)CC(=O)O,16.5,34,10.1039/B514173G
A19,CCOC(=O)CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC(=O)OCC)CC(=O)O)CC(=O)O,16.7,37,10.1021/acs.inorgchem.6b02158
A20,O=C(O)CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCC(=O)O)CC(=O)O)CC(=O)O,16.17,37,10.1021/acs.inorgchem.6b02158
A21,COCCN(C)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(C)CCOC)CC(=O)O)CC(=O)O,17.68,35,10.1097/00004424-199111001-00077
A22,COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,17.49,35,10.1097/00004424-199111001-00077
A23,CCCCN(CCCC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCCC)CCCC)CC(=O)O)CC(=O)O,19.0,34,10.1039/B514173G
A24,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CCN(CC(=O)O)Cc1ccccn1,16.83,33,10.1016/0730-725X(90)90055-7
A25,CCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.68,23,10.1002/mrm.1910080208
A26,CCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,18.91,23,10.1002/mrm.1910080208
A27,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,21.91,22,10.1002/ejic.200901261
A28,O=C(O)CCN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.74,40,10.1016/S0277-5387(00)86256-7
A29,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,19.4,39,10.1039/b005298l
A30,O=C(O)CN(CCN(CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O)C(COCc1ccccc1)C(=O)O,22.18,25,10.1016/S0010-8545(99)00237-4
A31,O=C(O)CN(CCN(CC(=O)O)C[C@H](COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,22.06,41,10.1021/ic001117r
A31,O=C(O)CN(CCN(CC(=O)O)C[C@H](COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,23.2,41,10.1021/ic001117r
A32,CCOc1ccc(C[C@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1,23.46,42,10.1021/ic981072i
A33,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,13.0,69,10.1002/chem.200204612
A34,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CCCN(CC(=O)O)CC(=O)O,17.5,69,10.1002/chem.200204612
A35,CCCCCNC(=O)CN(CCCN(CCN(CC(=O)O)CC(=O)NCCCCC)CC(=O)O)CC(=O)O,13.44,71,10.1039/b506702b
A36,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,19.37,43,10.1021/ic5020225
A36,O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,18.21,44,10.1021/j100808a028
A37,O=C(O)CCN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,15.21,45,10.1021/ic00213a019
A38,O=C(O)CN(CCCOCCCN(CC(=O)O)CC(=O)O)CC(=O)O,11.74,46,10.1021/ic00178a027
A39,O=C(O)CN(CC(=O)O)Cc1cccc(CN(CC(=O)O)CC(=O)O)n1,18.6,47,10.1039/b817343e
A40,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,17.66,43,10.1021/ic5020225
A40,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,17.5,44,10.1021/j100808a028
A41,O=C(O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)O,10.6,48,10.1246/BCSJ.66.3377
A42,O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,28.4,49,10.1016/0223-5234(88)90094-3
A43,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.35,50,10.1016/0048-9697(87)90127-6
A44,CC(C)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(C)C)CC(=O)O,12.79,51,10.1016/S0277-5387(98)00273-3
A45,CC(C)(C)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(C)(C)C)CC(=O)O,12.76,51,10.1016/S0277-5387(98)00273-3
A46,CCCNC(=O)CN(CCN(CC(=O)O)CC(=O)NCCC)CC(=O)O,10.3,52,10.1039/b211060a
A47,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)Cc1ccccn1,12.37,53,10.1021/ic9613016
A48,O=C(O)CNCCNCC(=O)O,8.1,50,10.1016/0048-9697(87)90127-6
A49,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)Cc1ccccc1O,18.89,54,10.1016/0020-1693(94)04012-5
A50,O=C(O)CN(CCN(CC(=O)O)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,20.23,55,10.1021/ic502966m
A51,CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,12.98,56,10.1016/S0021-9673(01)91745-5
A52,O=C(O)CN(CCN(CC(=O)O)C(=O)c1ccccc1)CC(=O)O,12.4,57,10.1021/ic50181a065
A53,O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)CC(=O)O,17.54,58,10.1016/0020-1693(94)04398-F
A54,O=C(O)CN(CCN(CC(=O)O)Cc1ccccn1)CC(=O)O,15.56,59,10.1515/znc-1997-7-814
A55,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,15.22,60,10.1016/00221902(61)80275-3
A56,O=C(O)CN(CC(=O)O)[C@@H]1CCCC[C@H]1N(CC(=O)O)CC(=O)O,19.6,50,10.1016/0048-9697(87)90127-6
A57,O=C(O)CN(Cc1cccc(C(=O)O)n1)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,20.68,61,10.1002/chem.201503836
A58,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,13.76,62,10.1021/ic00224a041
A59,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,13.94,62,10.1021/ic00224a041
A60,O=C(O)CN(CC(=O)O)c1ccccc1N(CC(=O)O)CC(=O)O,13.89,63,10.1246/bcsj.65.1566
A61,COCCN(CC(=O)O)CC(=O)O,7.88,25,10.1016/S0010-8545(99)00237-4
A62,O=C(O)CN(CC(=O)O)CC(=O)O,11.54,64,10.1021/ic50001a010
A63,O=C(O)CNCC(=O)O,6.68,65,10.1021/ic50003a009
A64,CN(CC(=O)O)CC(=O)O,6.8,25,10.1016/S0010-8545(99)00237-4
A64,CN(CC(=O)O)CC(=O)O,6.68,25,10.1016/S0010-8545(99)00237-4
A65,O=C(O)CN(CCO)CC(=O)O,9.01,66,10.1021/ic50007a042
A66,O=C(O)CN(CC(=O)O)C(=O)c1ccccc1,7.04,25,10.1016/S0010-8545(99)00237-4
A67,O=C(O)CN(CC(=O)O)Cc1ccccc1O,13.55,67,10.1246/bcsj.62.2296
A68,NCC(=O)O,3.72,68,10.1016/S0020-1693(00)81210-4
A69,O=C(O)CN(CC(=O)O)[C@@H]1CC[C@H]1N(CC(=O)O)CC(=O)O,14.73,70,10.1016/S0020-1693(00)81210-4
A70,O=C(O)CN(CC(=O)O)[C@@H]1CC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,17.41,70,10.1016/S0020-1693(00)81210-4
A71,O=C(O)CN(Cc1cccc(C(=O)O)n1)[C@@H]1CC[C@H]1N(CC(=O)O)Cc1cccc(C(=O)O)n1,18.0,70,10.1016/S0020-1693(00)81210-4
B1,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,24.7,72,10.1021/ic00253a038
B2,CC(C(=O)O)N1CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CCN(C(C)C(=O)O)CC1,23.6,73,10.1021/ic2012827
B3,CC1CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CCN1CC(=O)O,26.3,79,10.1002/mrm.1910220215
B4,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)C(Cc2ccc([N+](=O)[O-])cc2)CN(CC(=O)O)CC1,24.2,80,10.1021/ic0353007
B5,NC(=O)CN1CCN(CC(N)=O)CCN(CC(N)=O)CCN(CC(N)=O)CC1,13.12,74,10.1002/ejic.200700354
B6,CNC(=O)CN1CCN(CC(=O)NC)CCN(CC(=O)NC)CCN(CC(=O)NC)CC1,13.54,74,10.1002/ejic.200700354
B7,O=C(O)CNC(=O)CN1CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CCN(CC(=O)NCC(=O)O)CC1,14.54,74,10.1002/ejic.200700354
B8,CCNC(=O)CN1CCN(CC(=O)NCC)CCN(CC(=O)NCC)CCN(CC(=O)NCC)CC1,14.83,74,10.1002/ejic.200700354
B9,O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,28.8,75,10.1021/ic9600590
B10,CCP(=O)(O)CN1CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CC1,16.5,76,10.1021/ic00026a030
B11,O=P(O)(CO)CN1CCN(CP(=O)(O)CO)CCN(CP(=O)(O)CO)CCN(CP(=O)(O)CO)CC1,16.09,77,10.1002/ejic.200800859
B12,CCOP(=O)(O)CN1CCN(CP(=O)(O)OCC)CCN(CP(=O)(O)OCC)CCN(CP(=O)(O)OCC)CC1,14.4,77,10.1002/ejic.200800859
B13,CCCCOP(=O)(O)CN1CCN(CP(=O)(O)OCCCC)CCN(CP(=O)(O)OCCCC)CCN(CP(=O)(O)OCCCC)CC1,12.19,78,10.1002/1099-0682(200103)2001:3<813::aid-ejic813>3.0.co;2-6
B14,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,21.56,81,10.1021/ic4025958
B14,O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,19.06,82,10.1021/acs.inorgchem.8b00473
B15,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CCN(CC(=O)O)CC1,23.31,85,10.1021/ic2001915
B16,NCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.25,83,10.1039/C4DT03939D
B17,CCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,20.1,84,10.1021/ic00302a049
B18,O=C(O)CN1CCN(CC(=O)O)CCN(C(COCc2ccccc2)C(=O)O)CCN(CC(=O)O)CC1,25.93,86,10.1021/ic00032a035
B19,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,22.3,89,10.1021/ic00095a028
B20,CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.8,89,10.1021/ic00095a028
B21,CC(CO)N1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,23.9,89,10.1021/ic00095a028
B22,O=C(O)CN1CCN(CC(=O)O)CCN(CP(=O)(O)O)CCN(CC(=O)O)CC1,27.5,87,10.1135/cccc20051909
B23,O=C(O)CN1CCN(CC(=O)O)CCN(CP(=O)(O)CN(Cc2ccccc2)Cc2ccccc2)CCN(CC(=O)O)CC1,23.77,88,10.1021/acs.inorgchem.9b00267
B24,O=C(O)CN1CCNCCN(CC(=O)O)CCNCC1,19.1,90,10.1021/ic961131x
B25,O=C(O)CN1CCN(CP(=O)(O)O)CCN(CC(=O)O)CCN(CP(=O)(O)O)CC1,25.7,93,10.1021/ic7024704
B26,O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CCO)CC1,21.1,90,10.1021/ic961131x
B27,CC(O)CN1CCN(CC(=O)O)CCN(CC(C)O)CCN(CC(=O)O)CC1,22.5,90,10.1021/ic961131x
B28,O=C(O)c1cccc(CN2CCNCCN(Cc3cccc(C(=O)O)n3)CCNCC2)n1,17.27,94,10.1039/C4DT02985B
B29,CN1CCN(Cc2cccc(C(=O)O)n2)CCN(C)CCN(Cc2cccc(C(=O)O)n2)CC1,17.59,94,10.1039/C4DT02985B
B30,CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CCN(CC(=O)O)CC1,16.69,96,10.1021/acs.inorgchem.0c00520
B31,CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CC1,17.12,96,10.1021/acs.inorgchem.0c00520
B32,O=C(O)C(CO)N1CCNCCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,18.82,95,10.1039/a909098c
B33,CC(O)CN1CCN(CC(C)O)CCN(C(CO)C(=O)O)CCN(CC(C)O)CC1,19.4,95,10.1039/a909098c
B34,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CC1,20.39,97,10.1021/ic0608750
B34,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CC1,18.28,98,10.1002/chem.201705528
B35,O=C(O)CN1CCN(CC(=O)O)CC(Cc2ccc([N+](=O)[O-])cc2)N(CC(=O)O)Cc2cccc(n2)C1,19.42,99,10.1021/bc8004914
B36,O=C(O)CN1CCNCCN(CC(=O)O)Cc2cccc(n2)C1,16.6,91,10.1021/ic00112a040
B37,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(Cc2cccc(C(=O)O)n2)CC1,22.37,98,10.1002/chem.201705528
B38,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(CC(=O)O)Cc2cccc(n2)C1,20.49,98,10.1002/chem.201705528
B39,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)Cc2cccc(n2)C1,23.44,100,10.1021/acs.inorgchem.8b00598
B40,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)Cc2cccc(n2)CN(Cc2cccc(C(=O)O)n2)CC1,23.56,100,10.1021/acs.inorgchem.8b00598
B41,O=C(O)CN1Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)C1,14.5,91,10.1021/ic00112a040
B42,O=C(O)c1cccc(CN2Cc3cccc(n3)CN(Cc3cccc(C(=O)O)n3)Cc3cccc(n3)C2)n1,13.62,101,10.1021/ic301369z
B43,O=C(O)CN1CCCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CCC1,9.34,102,10.1002/ejoc.200400264
B44,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,19.17,103,10.1016/S0020-1693(00)80229-7
B45,O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCCN(CC(=O)O)CC1,13.77,103,10.1016/S0020-1693(00)80229-7
B46,O=C(O)c1cccc(CN2CCOCCN(Cc3cccc(C(=O)O)n3)CCOCC2)n1,18.82,104,10.1021/ic9011197
B47,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,21.6,105,10.1021/ic00067a022
C1,O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,13.7,106,10.1021/ic00009a027
C2,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2cccc(C(=O)O)n2)CC1,13.9,107,10.1002/ejic.201101162
C3,O=C(O)CN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,15.8,108,10.1002/chem.200501390 
C4,O=C(O)CCN1CCN(Cc2cccc(C(=O)O)n2)CCN(Cc2cccc(C(=O)O)n2)CC1,15.1,109,10.1039/b907738c
C5,O=C(O)c1cccc(CN2CCN(Cc3cccc(C(=O)O)n3)CCN(CP(=O)(O)O)CC2)n1,19.5,109,10.1039/b907738c
D1,O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCCOCC1,11.93,110,10.1021/ic00168a010
D2,O=C(O)c1cccc(CN2CCOCCOCCN(Cc3cccc(C(=O)O)n3)CCOCCOCC2)n1,13.02,111,10.1021/ja808534w
D3,O=C(O)CCN1CCOCCOCCN(CCC(=O)O)CCOCCOCC1,7.02,112,10.1021/ic00294a023
D4,O=C(O)CN1CCOCCOCCNCCOCCOCC1,7.29,112,10.1021/ic00294a023
D5,O=C(O)CN1CCOCCN(CC(=O)O)CCOCCN(CC(=O)O)CCOCC1,18.02,105,10.1021/ic00067a022
D6,O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CCN(CC(=O)O)Cc2cccc(n2)C1,21.7,113,10.1080/10610279608032556
E1,O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCC1,11.66,114,10.1021/ic00223a025
E2,O=C(O)c1cccc(CN2CCOCCOCCN(Cc3cccc(C(=O)O)n3)CCOCC2)n1,11.41,115,10.1039/C0DT00746C
E3,O=C(O)CN1CCOCCN(CC(=O)O)CCN(CC(=O)O)CCOCC1,17.23,105,10.1021/ic00067a022
E4,O=C(O)CCN1CCOCCN(CCC(=O)O)CCN(CCC(=O)O)CCOCC1,11.23,116,10.1006/mchj.1996.0026
T1,O=C(O)CN1CCN(CC(=O)O)CCN(Cc2ccccn2)CC1,12.55,0,10.1016/j.ccr.2022.214606
T2,NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,11.9,0,10.1016/j.ccr.2022.214606
T3,O=C(O)CN(CC(=O)O)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1ccccn1,14.47,0,10.1016/j.ccr.2022.214606
T4,O=C(O)CN(Cc1ccccn1)[C@@H]1CCCC[C@H]1N(CC(=O)O)Cc1ccccn1,12.07,0,10.1016/j.ccr.2022.214606
T5,O=C(O)CN(Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,16.2,0,10.1016/j.ccr.2022.214606
T6,O=C(O)c1cccc(CN(Cc2cccc(C(=O)O)n2)Cc2cccc(C(=O)O)n2)n1,17.77,0,10.1016/j.ccr.2022.214606
T7,CN(CCOCCN(C)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,12.02,133,10.1021/acs.inorgchem.0c00372
T8,O=C(O)CN(CCOCCN(CC(=O)O)Cc1cccc(C(=O)O)n1)Cc1cccc(C(=O)O)n1,20.5,133,10.1021/acs.inorgchem.0c00372
T9,O=P(O)(O)CN1CCNCCNCCN(CP(=O)(O)O)CC1,19.15,134,10.3390/molecules24183324
T10,O=C(O)CN1CCN(CC(=O)O)CCN(C[C@@H](O)C(=O)O)CCN(CC(=O)O)CC1,19.26,135,10.1021/acs.inorgchem.1c01927
T11,O=C(O)CN1Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)Cc2cccc(n2)C1,18.3,136,10.1021/acs.inorgchem.9b03345
T12,CCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,18.78,137,10.1039/C7DT04104G
